name,online_order,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Re:fuel- Aloft Bengaluru Cessna Business Park,No,,0,Bellandur,"Cafe, Bakery","Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich","1,000",Cafes,Bellandur
Costa Coffee,No,3.0/5,6,Bellandur,Cafe,"Cafe, Fast Food",500,Cafes,Bellandur
Cafe Olive,No,3.8/5,114,Bellandur,Cafe,"Cafe, European, Beverages, Italian",550,,
" """"RATED\n  I simply loved the food here. We were bunch of 5. Had ordered a couple of starters and different main course dishes. Every dish was very good. We liked the starters so much that we ordered a second plate of each type. \nBut Virgin Mojito didn't taste quite like it. That's one thing you could keep away. \nThe place is very small. If you are a big group (more than 4-5) would suggest to go early. Also", the road outside is dusty. If you can forget all that, ('Rated 5.0'," """"RATED\n  Really good food and its a must try if you are near ORR", ('Rated 5.0', 'RATED\n  This place has awesome Italian food, ('Rated 4.5'," """"RATED\n  Small place", ('Rated 2.5'," """"RATED\n  It's a small food joint behind cisco"
Cafe Thulp,Yes,4.0/5,341,Bellandur,Cafe,"Cafe, Burger, Italian, Salad","1,000",Cafes,Bellandur
Chai Resto,No,3.6/5,5,Bellandur,Quick Bites,"Fast Food, Tea",200,Cafes,Bellandur
Stoner,Yes,4.3/5,556,Sarjapur Road,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,,
 ('Rated 5.0', 'RATED\n  used zomato gold for 1+1...ordered choco lava and chocolate decadence. just next to kaikondrahalli lake- its quite easy to spot. interior is quite cosy and comfy. they hv quite some offers going on like the happy hours and the combo offers which I felt is quite good. they are open till 1in night which is really cool for late night sweet pangs.')," """"RATED\n  Have tried only the chipotle veggie pizza - no desserts.\n\nBut the look and taste of the pizza - with generous amount of topping and cheese - made me decide that I will definitely try their desserts and other pizzas next time.\n\nCertainly much better than the big chain pizza outlets. If you love cheese - that too", the real one, ('Rated 4.0', 'RATED\n  tried Sticky toffee pudding here. it was very delicious and satisfying. place is very neat and clean + curtious staff. visit here sometime on weekends'), 'RATED\n  Post dinner ice cream cravings got us here. We ordered Thanda Paan, Oreo Explosion, Coffee crunch and Lots of nuts ice cream. In general the ice creams were nice. But all the chocolate based ice creams had excess of those chocolate nuts which I believe ruined the taste and the ordered flavour could not be enjoyed.\nAppreciation for the cool staff for playing great music which made us dance and we had a great time.'), ('Rated 4.0'
Zoey's,Yes,4.3/5,894,Sarjapur Road,Cafe,"Cafe, Italian, Continental, Burger",600,Cafes,Bellandur
Eating Love,Yes,4.3/5,149,Sarjapur Road,Cafe,"Cafe, Italian, Pizza",800,Cafes,Bellandur
Light House Cafe,Yes,3.7/5,94,Marathahalli,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese",700,,
 'RATED\n  Light Hose Cafe !!!!!\nA perfect place to chillout for people. Ambience is too good! have provided the comfort levels like couch and bean bags, the service people are too friendly who serve the things with a big smile on there face. food is tasty? overall my experience at light house cafe was awesomee!'), 'RATED\n  Foods is very awesome and Manu also so this is very good....and different different Cocktail mocktail milk shake , juice is there i really like very much.....and hukka is to awesome in Cafe is very incredible nice nice place....'), 'RATED\n  Peacfull place for long chat with friend.Ambience is really good.Not much options in the menu for mocktails..cafe is in the budget.I njoyed being there.'), ('Rated 4.0', ('Rated 4.0', 'RATED\n  The newest place in the neighbourhood. A much-needed one, ('Rated 5.0', 'RATED\n  Light Hose Cafe !!!!!\nA perfect place to chillout for people. Ambience is too good! have provided the comfort levels like couch and bean bags
Chaai Resto,Yes,4.1/5,33,Sarjapur Road,Cafe,"Cafe, Rolls, Fast Food",200,Cafes,Bellandur
Imperio Cafe,No,3.9/5,22,Whitefield,Quick Bites,"Cafe, Fast Food, Pizza, Burger, Beverages",200,Cafes,Bellandur
The Shed,No,,0,Sarjapur Road,Cafe,"Cafe, Fast Food",400,Cafes,Bellandur
Biggies Burger 'n' More,No,,0,Sarjapur Road,Quick Bites,"Burger, American, Beverages, Cafe",650,Cafes,Bellandur
eat.fit,Yes,4.4/5,632,Bellandur,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery,Bellandur
Sher-E-Punjab,Yes,3.4/5,414,Marathahalli,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur
Blue Berry Restaurant,Yes,3.9/5,146,Bellandur,Casual Dining,"North Indian, Biryani, Chinese, Beverages",650,Delivery,Bellandur
BOX8- Desi Meals,Yes,4.1/5,166,Bellandur,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Bellandur
FreshMenu,Yes,3.2/5,113,Marathahalli,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Bellandur
Udupi Ruchi,Yes,3.8/5,240,Bellandur,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Bellandur
Rangla Punjab,Yes,2.9/5,313,Bellandur,Quick Bites,"North Indian, Chinese",450,Delivery,Bellandur
Thiruvithamkoor Restaurant,Yes,3.3/5,294,Sarjapur Road,Quick Bites,"Kerala, Seafood, South Indian, Biryani",400,Delivery,Bellandur
The Paratha Company,Yes,4.3/5,166,HSR,Delivery,North Indian,400,Delivery,Bellandur
nu.tree,Yes,4.4/5,278,Sarjapur Road,Delivery,"North Indian, Healthy Food, Beverages",400,Delivery,Bellandur
Best Of Bengal,Yes,3.8/5,230,Marathahalli,Quick Bites,Bengali,300,Delivery,Bellandur
Kerala Panoor Restaurant,Yes,3.5/5,137,Bellandur,Quick Bites,"Kerala, Seafood, Biryani, South Indian",350,Delivery,Bellandur
Odians,Yes,3.2/5,38,Marathahalli,Quick Bites,"North Indian, Chinese, Oriya",500,Delivery,Bellandur
Pet Full @ 99,Yes,3.1/5,15,Sarjapur Road,Quick Bites,North Indian,200,Delivery,Bellandur
New Punjabi Dhaba,Yes,3.9/5,782,HSR,Quick Bites,"North Indian, Chinese",300,Delivery,Bellandur
Punjabi Dawat,Yes,2.9/5,248,Bellandur,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur
Burger King,Yes,3.8/5,62,Sarjapur Road,Quick Bites,"Burger, Fast Food",500,Delivery,Bellandur
Kerala Mess Upahar,Yes,3.7/5,123,Bellandur,Mess,"Kerala, Biryani, South Indian",300,Delivery,Bellandur
Phulke Ghar Ke,Yes,4.0/5,532,Bellandur,Quick Bites,"North Indian, Chinese",300,Delivery,Bellandur
XO Belgian Waffle,Yes,4.5/5,141,HSR,Dessert Parlor,"Desserts, Beverages",400,Delivery,Bellandur
Lassi Corner,Yes,3.8/5,68,Marathahalli,Quick Bites,"Beverages, Juices, Ice Cream, Fast Food, Sandwich",200,Delivery,Bellandur
Coastal Fish Land,Yes,NEW,0,Bellandur,Casual Dining,Mangalorean,500,Delivery,Bellandur
Bathinda Junction,Yes,4.0/5,533,HSR,Casual Dining,North Indian,600,Delivery,Bellandur
The Meal Story,Yes,4.2/5,258,Sarjapur Road,Casual Dining,"North Indian, Street Food",700,Delivery,Bellandur
Meghana Foods Grand,Yes,4.2/5,3334,Marathahalli,Casual Dining,"Biryani, Seafood, Andhra, North Indian",600,Delivery,Bellandur
Murli,Yes,3.9/5,1233,Bellandur,Casual Dining,"North Indian, Chinese, Street Food, Fast Food, Mithai",500,Delivery,Bellandur
Barbeque Delight,Yes,3.8/5,188,Sarjapur Road,Casual Dining,"Arabian, Kerala, North Indian, Chinese, BBQ",800,Delivery,Bellandur
Basmati Restaurant,Yes,3.8/5,419,Bellandur,Casual Dining,"Biryani, Andhra, North Indian, Chinese",900,Delivery,Bellandur
Empire Restaurant,Yes,3.8/5,2084,Bellandur,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,,
 ('Rated 3.0'," """"RATED\n  Food quality is really bad experience for me and also service....very slow .\nbiriyani",roti," butter chicken not good at all\nreally bad experience I don't recommend this place\nbut we can visit if thay can improve the quality of food\nabout the food they have workout..."""")", 'RATED\n  Quantity was good. Price nice. Sadly not to my taste at all. Biryani rice had no meat and was bland. Tandoori chicken was dry & tasteless (no marinade). Adding the Lipton tea was a positive touch.'), ('Rated 4.0', and you will find everything here, right from dosas to deserts.\nYou will also find fresh fruit juices, ('Rated 2.0'," """"RATED\n  Went to this restaurant last week with my team mates during the office hours as itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s pretty close to my work place. \nWe tried Chicken Kebab"
Reddy's Restaurant,Yes,3.6/5,34,Sarjapur Road,Casual Dining,"Andhra, Biryani, South Indian, Chinese",500,Delivery,Bellandur
Hyderabad Biryaani House,Yes,3.7/5,833,Marathahalli,Casual Dining,"Biryani, North Indian, Chinese",550,Delivery,Bellandur
Sukhi Bhava,Yes,3.6/5,21,Marathahalli,Quick Bites,"Andhra, Chinese, Biryani",300,Delivery,Bellandur
Kanti Sweets,Yes,4.0/5,152,Bellandur,Sweet Shop,"Mithai, Street Food",400,Delivery,Bellandur
Fun Kitchen,Yes,3.8/5,87,HSR,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Bellandur
Hyderabadi Biryani Hub,Yes,3.5/5,45,Sarjapur Road,Quick Bites,"Biryani, North Indian",600,Delivery,Bellandur
Moriz Restaurant,Yes,2.9/5,666,Marathahalli,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",800,Delivery,Bellandur
Polar Bear,Yes,3.9/5,105,Marathahalli,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Bellandur
Blueberry Restaurant,Yes,3.7/5,36,Bellandur,Quick Bites,"North Indian, Biryani, South Indian",400,Delivery,Bellandur
Biryani Kitchen,Yes,3.9/5,214,Bellandur,Quick Bites,Biryani,400,Delivery,Bellandur
Udupi Aatithya,Yes,4.0/5,77,Bellandur,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Bellandur
Pepperwood,Yes,3.8/5,132,Sarjapur Road,Quick Bites,"Biryani, Rolls",300,Delivery,Bellandur
NY Pizza And Waffles,Yes,NEW,0,Sarjapur Road,Quick Bites,"Pizza, Fast Food",300,Delivery,Bellandur
Biriyani House,Yes,3.6/5,27,Bellandur,Casual Dining,Biryani,400,Delivery,Bellandur
Punjabi Khana,Yes,3.0/5,12,Bellandur,Quick Bites,North Indian,500,Delivery,Bellandur
Al Daaz,Yes,4.2/5,567,HSR,Casual Dining,"North Indian, Continental, BBQ",550,Delivery,Bellandur
Mojo Pizza - 2X Toppings,Yes,4.1/5,164,Bellandur,"Takeaway, Delivery",Pizza,600,Delivery,Bellandur
Chai Point,Yes,4.0/5,316,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Bellandur
Onesta,Yes,4.4/5,3738,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,,
" """"RATED\n  The place as a whole is really nice", quite beautiful in terms of decor, but it certainly paid well for the price I got it for. Extremely affordable to the pocket! I liked the place anyway," and would love to visit again."""")", 'RATED\n  One of the loveliest places i have ever visited.\nBelieve me, the taste is worthier than the cost here.\nVery friendly staff great taste great food great ambiance.')," 'RATED\n  Two words that are bound to get people like me sit up straight - """"pizza"""" and """"unlimited""""!\nAround 700 bucks", and you get to gorge on anything they have on the menu - that\'s right - ANYTHING!\nPizzas (Thin/Stuffed crust, Ravioli - you name it, and it will be served hot.\nPro tip: Pizzas might be their mojo
Bihar Ki Shan,Yes,3.9/5,343,HSR,Quick Bites,North Indian,300,Delivery,Bellandur
Sai Santhi Cafe,Yes,3.8/5,62,Marathahalli,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Bellandur
Sri Vishnu Veg,Yes,3.5/5,11,Marathahalli,Quick Bites,South Indian,200,Delivery,Bellandur
Shudh,Yes,4.1/5,87,Sarjapur Road,Delivery,North Indian,300,Delivery,Bellandur
Biryani Miya,Yes,3.8/5,44,Sarjapur Road,Delivery,"Biryani, North Indian",600,Delivery,Bellandur
Mani's Dum Biryani,Yes,4.0/5,894,Bellandur,Casual Dining,"Biryani, Kebab",750,Delivery,Bellandur
Sri Vishnu Grand & Garden Restaurant,Yes,3.8/5,7,Sarjapur Road,Quick Bites,"South Indian, North Indian, Fast Food",500,Delivery,Bellandur
Hyderabadi Bawarchi Biriyani,Yes,,0,Bellandur,Casual Dining,Biryani,450,Delivery,Bellandur
Donne Biriyani House,Yes,3.2/5,126,Sarjapur Road,Quick Bites,Biryani,300,Delivery,Bellandur
Potful,Yes,3.8/5,832,Sarjapur Road,Delivery,"Biryani, Kebab, Rolls, Mughlai",650,Delivery,Bellandur
Bahar Cafe,Yes,4.0/5,903,Marathahalli,Casual Dining,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",750,Delivery,Bellandur
Subway,Yes,3.7/5,38,Marathahalli,Quick Bites,"Salad, Fast Food",600,Delivery,Bellandur
KFC,Yes,3.2/5,380,Sarjapur Road,Quick Bites,"Burger, Fast Food",450,Delivery,Bellandur
DinePost9,Yes,3.8/5,798,Marathahalli,Delivery,"North Indian, South Indian, Chinese, Continental",450,Delivery,Bellandur
Thalassery Restaurant,Yes,3.4/5,692,Bellandur,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600,Delivery,Bellandur
Sri Vishnu Grand,Yes,3.8/5,135,Sarjapur Road,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Bellandur
Paradise,Yes,NEW,0,Sarjapur Road,Delivery,"Biryani, North Indian",600,Delivery,Bellandur
Bathinda Dine,Yes,4.0/5,230,Bellandur,Casual Dining,North Indian,950,Delivery,Bellandur
WOW! Momo,Yes,3.5/5,79,Marathahalli,Quick Bites,"Chinese, Momos",400,Delivery,Bellandur
Behrouz Biryani,Yes,4.0/5,357,Sarjapur Road,Delivery,Biryani,650,Delivery,Bellandur
Sri Krishna Kitchen,Yes,3.6/5,22,Bellandur,Quick Bites,"North Indian, Chinese",350,Delivery,Bellandur
Maa Bhook Lagi,Yes,4.1/5,152,HSR,Delivery,North Indian,400,Delivery,Bellandur
Cake Town Cafe,Yes,3.9/5,75,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts",500,Delivery,Bellandur
Kairali Restaurant,Yes,3.9/5,94,Bellandur,Quick Bites,Kerala,200,Delivery,Bellandur
Basaveshwara Khanavali,Yes,3.6/5,11,Sarjapur Road,Quick Bites,South Indian,150,Delivery,Bellandur
Punjabi Food Point,Yes,3.3/5,200,Bellandur,Quick Bites,"North Indian, Mughlai, Biryani, Chinese",450,Delivery,Bellandur
Punjabi Tadka,Yes,2.8/5,188,HSR,Casual Dining,"North Indian, Chinese",400,Delivery,Bellandur
Costa Biryanis,Yes,3.3/5,10,East Bangalore,Delivery,"Andhra, Biryani, North Indian, South Indian",300,Delivery,Bellandur
Sri Udupi Park,Yes,3.1/5,226,Marathahalli,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Bellandur
Pizza Hut,Yes,2.8/5,105,Bellandur,Quick Bites,"Pizza, Fast Food",600,Delivery,Bellandur
The Punjabi Rasoi,Yes,3.7/5,194,Sarjapur Road,Casual Dining,North Indian,800,Delivery,Bellandur
Punjab Di Shaan,Yes,3.0/5,38,HSR,Casual Dining,North Indian,450,Delivery,Bellandur
Punjabi Nukkad Pure Veg,Yes,3.5/5,378,Bellandur,Quick Bites,"North Indian, Chinese, Juices",500,Delivery,Bellandur
Atithi Sambrama,Yes,3.9/5,69,Sarjapur Road,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery,Bellandur
Navya's,Yes,2.9/5,45,HSR,Casual Dining,"North Indian, Andhra",600,Delivery,Bellandur
Lassi Shop,Yes,3.9/5,152,Bellandur,Beverage Shop,"Beverages, Ice Cream, Fast Food",300,Delivery,Bellandur
Mandya Gowdru Donne Biriyani,Yes,3.8/5,281,HSR,Quick Bites,"Biryani, South Indian",350,Delivery,Bellandur
Marwari Basa,Yes,3.1/5,26,Bellandur,Quick Bites,"Rajasthani, North Indian",300,Delivery,Bellandur
Indori Zaika,Yes,2.8/5,105,HSR,Quick Bites,North Indian,300,Delivery,Bellandur
Mealer.in,Yes,3.9/5,432,Sarjapur Road,Delivery,"North Indian, Biryani",450,Delivery,Bellandur
Kya Khaoge,Yes,3.7/5,63,Old Airport Road,Delivery,"North Indian, Chinese",300,Delivery,Bellandur
Homelicious Food,Yes,NEW,0,Bellandur,Quick Bites,North Indian,200,Delivery,Bellandur
Rayalaseema Chefs,Yes,3.9/5,225,Marathahalli,Casual Dining,"North Indian, Biryani, Andhra, Chinese",800,Delivery,Bellandur
Ambur Dum Biriyani,Yes,3.4/5,12,Bellandur,Quick Bites,Biryani,200,Delivery,Bellandur
The Nosh House,Yes,4.3/5,220,Sarjapur Road,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",600,Delivery,Bellandur
Frozen Bottle,Yes,4.0/5,82,Marathahalli,Beverage Shop,"Beverages, Desserts",400,Delivery,Bellandur
Warm Oven,Yes,3.8/5,65,Marathahalli,Bakery,"Bakery, Desserts",500,Delivery,Bellandur
Firangi Bake,Yes,4.1/5,88,Sarjapur Road,Delivery,"Mexican, Italian",600,Delivery,Bellandur
Chaarcoal,Yes,4.0/5,444,Bellandur,Casual Dining,North Indian,"1,200",Delivery,Bellandur
Savoury Restaurant,Yes,2.9/5,827,Sarjapur Road,Casual Dining,"Arabian, North Indian, Chinese, Kerala, Seafood, Biryani",800,Delivery,Bellandur
Delhite Food,Yes,3.5/5,6,Bellandur,Quick Bites,North Indian,300,Delivery,Bellandur
Faasos,Yes,4.1/5,193,Bellandur,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Bellandur
The Flying Cup,Yes,4.2/5,233,Sarjapur Road,Quick Bites,"Beverages, Fast Food, Tea",150,Delivery,Bellandur
The Rasaganga,Yes,3.7/5,404,Bellandur,Casual Dining,"South Indian, North Indian, Chinese, Street Food",500,Delivery,Bellandur
Udupi Nalapaka,Yes,3.7/5,37,Bellandur,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Bellandur
Sarjapur Social,Yes,4.6/5,1193,Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food","1,500",,
 totally clueless parking/valet staff, unimaginably small elevators to get to the joint.. So 4 out of 5 times when I've thought of going there, ('Rated 4.0'," """"RATED\n  Ambience is just great with beautiful lights and seating area.. It's good for party with friends and colleagues. They have a very good dance floor too.\n\nThe only thing which disappoints me is their food. I felt every dish had a much taste of just tomato flavour. Food was not served hot. This place is just good to hangout. It's good lively place.\n\nDo follow @explorewithketan1 on Instagram to explore new places and eateries... ?"""")", 'RATED\n  Went to this place on a weekday evening and had to be at bar counter for 20 mins before I got the table. Place has beautiful ambiance, divided into 2 different floors, loved everything , drinks, 'RATED\n  SOCIAL never disappoints me and this one specially will amaze you as soon as you get in. The ambience is no doubt one of the best in the city.. The high ceilings, the interior
The Fisherman's Wharf,Yes,4.4/5,4099,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian","1,400",,
 ambience - the place to checks all boxes. Tip: Sunday brunches are the best.'), ('Rated 5.0', we thought of try our luck. And out decision was right. They have a splendid Buffet spread at Fisherman Wharf. As the name suggests it is more famous for its non veg but never the less it has good vegetarian fare as well. The Decor is that off a Traditional house in a fishing village and for a moment you may feel you are in a resort. Beautiful ambience, great job at creating a beach like atmosphere! Service is brilliant! I went for the lunch buffet and the starters and desserts were delicious and wholesome in the number of items. They fill you up with starters of a large variety which are served at your table, ('Rated 5.0'," """"RATED\n  I went to fisherman wharf goa and became a fan of the place. When I heard of one in Bangalore it was in my bucketlist since ever.\nWe went there for dinner on a weekday",[],Delivery,,
Just Shawarma,Yes,3.9/5,78,HSR,Quick Bites,Arabian,300,Delivery,Bellandur
Konaseema Kitchen,Yes,3.8/5,571,Marathahalli,Casual Dining,"North Indian, Biryani, Andhra, South Indian",600,Delivery,Bellandur
PSV's Andhra Paradise,Yes,3.5/5,116,HSR,Casual Dining,"Andhra, Chinese, North Indian, Hyderabadi",600,Delivery,Bellandur
Maia - Eat | Bake | Mom,Yes,4.3/5,996,Bellandur,Casual Dining,"Continental, North Indian, Beverages","1,200",,
 'RATED\n  An Amazing place in Bellandur for veggies has come up in town ?. The spread of food is amazing considering the monotonous veg places in bangalore. Strong thumbs up for this place.'), ('Rated 3.0', ('Rated 5.0'," """"RATED\n  Amazing experience! Wonderful interiors and superb ambiance for veg food lovers.\nCheck the pics for ambiance. They have a theme for every corner.\nService is a class apart and the Food is also great.\nWe ordered for a roasted pumpkin soup", though I have tasted slightly better version elsewhere. But the service here was really quick. Tandoori Mustard Gobhi was a revelation.. the slightly stingy taste of mustard, with light cream to neutralize any harsh tastes on big tandoori Gobhi chunks wee a delight for the tastebuds. Can't wait to reorder!!\nThe jasmine rice had its own aroma and the flavours wert delightful. The only thing not upto the mark was the Thai veg curry. I personally felt that it needed a bit more of exotic veggies.. the gravy was good and coconut milk curry was fabulous. I'll give them a benefit of doubt this time.. all in all, ('Rated 4.0'," """"RATED\n  Thai was a like hidden gem in Bellandur. I got to know about this restaurant from a colleague. It's an all vegetarian multi cuisine restaurant and boy they are good\nWe tried italian indian and some World cuisine and they were all good. Thw home made pasta was a standout dish for me.\n\nThe ambience I must say is very good and the outdoor seating is clean. They don't have a big selection for desserts but the cupcakes are well presented and tasty"""")", and offers a great ambience. The menu is small, but does have a number of different options. We ordered
Punjab Zone,Yes,2.9/5,120,Bellandur,Quick Bites,North Indian,400,Delivery,Bellandur
Yummy Punjabi,Yes,2.9/5,93,Bellandur,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur
Happy Endings,Yes,4.3/5,490,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts, Italian",500,Delivery,Bellandur
Meghana Biryani,Yes,2.3/5,235,Bellandur,Casual Dining,North Indian,800,Delivery,Bellandur
Andhra Bhojanam,Yes,3.6/5,48,Bellandur,Delivery,Andhra,400,Delivery,Bellandur
Cupcake Bliss,Yes,3.3/5,8,Bellandur,Bakery,Bakery,250,Delivery,Bellandur
Spicy Khana Point,Yes,3.0/5,68,Marathahalli,Quick Bites,"North Indian, Chinese, Biryani",500,Delivery,Bellandur
Hyderabad Chefs,Yes,4.0/5,717,Marathahalli,Casual Dining,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",800,Delivery,Bellandur
The Hidden Home,Yes,4.3/5,994,Sarjapur Road,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian","1,300",,
 ('Rated 4.0', 'RATED\n  Neat and clean space to hang out. They have brew pub and fine dining. We visited fine dining restaurant. The food ordered was juicy , ('Rated 3.0', 'RATED\n  They have some new kind of starters starting from onion pakoda to hot steamed momos. The starters for veg is limited in comparison to the non veg buffet. Coming to the main course, schezwan chicken , white sauce pasta, the staff and the manager were really courteous.'), ('Rated 4.0', ('Rated 4.0', 'RATED\n  Neat and clean space to hang out. They have brew pub and fine dining. We visited fine dining restaurant. The food ordered was juicy 
Byg Brewski Brewing Company,Yes,4.9/5,16345,Sarjapur Road,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food","1,600",,
 I gave 4 stars because if someone don't wanna drink," there is no point asking him/her to drink repeatedly."""")", 'RATED\n  Beautiful place. One of the best places probably to visit in Bangalore. Awesome ambience with great atmosphere and food with Amazing brewed beers.'), ('Rated 5.0'," which says a lot about how well itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s being run.')]""",[],Bellandur,,,
Nutty Affair,Yes,3.7/5,25,HSR,Quick Bites,Desserts,350,Delivery,Bellandur
Waffle Talesz,Yes,3.6/5,18,Sarjapur Road,Dessert Parlor,Desserts,200,Delivery,Bellandur
Suryawanshi,Yes,4.5/5,125,Sarjapur Road,Casual Dining,"Maharashtrian, Seafood",700,Delivery,Bellandur
Chili's American Grill & Bar,Yes,4.5/5,1365,Bellandur,"Casual Dining, Bar","American, Tex-Mex, Burger, BBQ","1,800",Delivery,Bellandur
Hyderabadi Zaiqa,Yes,3.1/5,41,Bellandur,Casual Dining,"Hyderabadi, North Indian, Biryani",700,Delivery,Bellandur
RRoyal Rajasthan,Yes,4.3/5,754,Sarjapur Road,Casual Dining,"Rajasthani, North Indian",500,,
" """"RATED\n  Another favourite restaurant that I visited on my voyage across the country during my college", was Rroyal Rajasthan in Bangalore.\n\nIt's located above the Bata Showroom at Bhumi Plaza and is absolutely beautiful. It's interiors are well decorated and you are taken straight to the warmth and vibrance of North India and Rajasthan.\n\nThey have this concept of the Unlimited Rajasthani Thali for ?300+ and is a super life saver for any North Indian in Bangalore. The thali offers 18 kinds of items and you'll probably be done in one round of the thali! But the food is so good, ('Rated 5.0'," """"RATED\n  If you want authentic north indian ", I can't thought of that I could find this much good north indian food in Bangalore , but Royal Rajasthan was there and I had a full main course meal here and best part of it was tasty and super awesome . They will serve you the best of North indian , Jal jeerra ," Chole bhature platter and paneer pratha platter and all the things were too good\nOverall\nFood : 5/5\nAmbiance : 5/5\nService : 4.5/5"""")", I visited them as was craving for some tasty North Indian food and then I order their dal badi thali and in drinks I had rose soda and mango lassi , both were just too awesome and were great in taste and is very affordable 
Indiana Burgers,Yes,3.5/5,28,Sarjapur Road,Delivery,Burger,300,Delivery,Bellandur
Abhiruchi Restaurant,Yes,3.4/5,5,Sarjapur Road,Casual Dining,"Andhra, North Indian, Chinese",400,Delivery,Bellandur
9 Bowls,Yes,,0,Marathahalli,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",500,Delivery,Bellandur
Pasta Twist Plus,Yes,2.6/5,20,Bellandur,Casual Dining,"Fast Food, Continental",400,Delivery,Bellandur
Delite Chaat House,Yes,3.5/5,178,HSR,Quick Bites,"Street Food, Gujarati",300,Delivery,Bellandur
Hyderabadi Biriyani,Yes,3.4/5,33,Bellandur,Casual Dining,"Biryani, Hyderabadi, Chinese, North Indian",800,Delivery,Bellandur
Sri Krishna Sagar,Yes,3.5/5,234,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",400,Delivery,Bellandur
Momo Rice Noodles,Yes,3.4/5,68,Sarjapur Road,Quick Bites,"Chinese, Momos",600,Delivery,Bellandur
Bombay Sandwich Company,Yes,3.5/5,32,Sarjapur Road,Delivery,"Sandwich, Beverages",400,Delivery,Bellandur
Frosty Fills,Yes,NEW,0,Bellandur,Quick Bites,"Desserts, Ice Cream",250,Delivery,Bellandur
Hungry Bird,Yes,3.6/5,15,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery,Bellandur
The Good Bowl,Yes,3.6/5,10,Sarjapur Road,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Bellandur
The Salad Studio,Yes,4.0/5,107,Bellandur,Cafe,"Cafe, Healthy Food, Salad",400,Delivery,Bellandur
Veg Rasoi,Yes,3.9/5,92,HSR,Delivery,"North Indian, Rajasthani",600,,
 'RATED\n  The food is awesome here.The real meaning of home made food is visible here.\nAlso,with the quality of food served, ('Rated 5.0', 'RATED\n  Best Hygiene and tasty Home made food in HSR with an affordable rate for Vegeterians. Items were really with less oil. If you want to have healthy & Tasty Veg food, ('Rated 4.0', 'RATED\n  The food is amazing over here!! Perfect place for vegetarians!!! And yet so affordable! Loved the different thalis which they serve!! Tastes like home cooked food.'), 'RATED\n  This is my favorite place to order North Indian cuisines like Rajma, Dal Fry and Aloo cabbage etc. Preparation are awesome. Worth for money.'),"chole masala and phulka....it was too tasty...overall a very good experience..."""")", ('Rated 5.0'
Curry Flavours,Yes,3.7/5,59,Sarjapur Road,Casual Dining,"Tamil, South Indian, North Indian, Chinese",200,Delivery,Bellandur
Petoo,Yes,4.1/5,103,HSR,Quick Bites,"North Indian, Fast Food, Street Food",800,Delivery,Bellandur
